marker	type	tag	quantity	module	markup	markdown	script	functioncall	buysell
DENDIS	merchant	m_202_001		202TEL	100	55	bxm_dendis	Box_DendisDoboStock	1
BLACK	merchant	m_202_002		202TEL	100	55	bxm_black	Box_BlackMarketStock	1
SAMHAN	merchant	m_202_003		202TEL	100	55	bxm_samhan	Box_SamhanDoboStock	1
CHANO	merchant	m_chano		203TEL	100	55	bxm_chano	Box_OpoChanoStock	1
DENDIS	item	hh_medpac1	8						
DENDIS	item	hh_medpac2	2						
DENDIS	item	hb_reflex1	1						
DENDIS	item	hb_cardio1	1						
DENDIS	item	hb_nerve1	1						
DENDIS	item	hs_energy	2						
DENDIS	item	hs_enviro	1						
DENDIS	item	hb_steal	1						
DENDIS	item	wl_grappl	1						
DENDIS	item	wl_flame	1						
DENDIS	item	wl_dart	1						
DENDIS	item	wl_gren	1						
DENDIS	item	wl_gas	1						
DENDIS	item	ag_frag	4						
DENDIS	item	ag_flash	4						
DENDIS	item	bl_frag	1						
DENDIS	item	bl_flash	1						
DENDIS	item	bl_poison	1						
DENDIS	item	bl_nerve	1						
DENDIS	item	aa_mining	8						
DENDIS	item	ba_flame1	1						
DENDIS	item	aa_grappl	1						
DENDIS	item	ba_psndt	1						
DENDIS	item	ba_slpdt	1						
DENDIS	item	wm_short	2						
DENDIS	item	wm_long	2						
DENDIS	item	wm_quarter	2						
DENDIS	item	wm_dblade	1						
DENDIS	item	wm_baton	1						
DENDIS	item	wm_pike	1						
DENDIS	item	wm_vblade	2						
DENDIS	item	wr_blast1	2						
DENDIS	item	wr_hold1	2						
DENDIS	item	wr_ion1	1						
DENDIS	item	wr_disrup1	1						
DENDIS	item	wr_sonic1	1						
DENDIS	item	wr_heavy1	1						
DENDIS	item	wr_carbin3	2						
DENDIS	item	wr_blast2	1						
DENDIS	item	wr_hold2	1						
DENDIS	item	wr_ion2	1						
DENDIS	item	wr_blast3	1						
DENDIS	item	ha_repub1	2						
DENDIS	item	ha_repub2	2						
DENDIS	item	ha_repub3	1						
DENDIS	item	hh_anti	4						
DENDIS	item	g_i_progspike01	4						
DENDIS	item	g_i_secspike01	4						
DENDIS	item	g_i_parts01	4						
