spellcode,type,spellconst,name,script,spellindex,powercost,levelreq,spellcr,prereq,spellcategory,spellrange,icon,conjanim,castanim,casthand,priority,hostile,spellexclusion,functioncall,visualfunction,locationfunction,alignment,castdc,radius,spellshape
SPEED_1_REMOVED,remove,,,box_forcespeed,8,20,0,3,,,,,,,,,,,,,,,,,
SPEED_2_REMOVED,remove,,,box_forcespeed,34,20,0,3,,,,,,,,,,,,,,,,,
SPEED_3_REMOVED,remove,,,box_forceagility,37,50,20,9,,,,,,,,,,,,,,,,,
IONIZE_1_REMOVED,remove,,,box_forceionize,47,15,5,3,,,,,,,,,,,,,,,,,
IONIZE_2_REMOVED,remove,,,box_forceionize,12,15,5,3,,,,,,,,,,,,,,,,,
IONIZE_3_REMOVED,remove,,,box_ionstorm,13,45,22,9,,,,,,,,,,,,,,,,,
THROW_SABER_1_REMOVED,remove,,,box_throwsaber,49,20,10,3,,,,,,,,,,,,,,,,,
THROW_SABER_2_REMOVED,remove,,,box_throwsaber,4,20,10,3,,,,,,,,,,,,,,,,,
ENERGY_1_REMOVED,remove,,,box_enemybuff1,42,20,5,3,,,,,,,,,,,,,,,,,
ENERGY_2_REMOVED,remove,,,box_enemybuff2,40,30,15,6,,,,,,,,,,,,,,,,,
ENERGY_3_REMOVED,remove,,,box_enemybuff3,133,40,22,9,,,,,,,,,,,,,,,,,
IMMUNITY_1_REMOVED,remove,,,box_enemybuff2,41,30,15,6,,,,,,,,,,,,,,,,,
IMMUNITY_2_REMOVED,remove,,,box_enemybuff3,20,40,22,9,,,,,,,,,,,,,,,,,
PUSH_1_REMOVED,remove,,,box_forcepush,23,20,15,6,,,,,,,,,,,,,,,,,
PUSH_2_REMOVED,remove,,,box_forcepush,27,20,15,6,,,,,,,,,,,,,,,,,
PUSH_3_REMOVED,remove,,,box_forcewave,26,60,25,9,,,,,,,,,,,,,,,,,
DRAIN_FORCE_1_REMOVED,remove,,,box_forcedrain,153,25,20,9,,,,,,,,,,,,,,,,,
DRAIN_FORCE_2_REMOVED,remove,,,box_forcedrain,154,25,20,9,,,,,,,,,,,,,,,,,
DRAIN_FORCE_3_REMOVED,remove,,,box_forcedrain,155,25,20,9,,,,,,,,,,,,,,,,,
BATTLE_MED_1_REMOVED,remove,,,box_enemybatmed1,138,40,20,6,,,,,,,,,,,,,,,,,
BATTLE_MED_2_REMOVED,remove,,,box_enemybatmed1,139,60,25,9,,,,,,,,,,,,,,,,,
BATTLE_MED_3_REMOVED,remove,,,box_enemybatmed1,140,80,30,9,,,,,,,,,,,,,,,,,
MIND_TRICK_1_REMOVED,remove,,,box_forceconfusion,181,25,22,9,,,,,,,,,,,,,,,,,
MIND_TRICK_2_REMOVED,remove,,,box_forceconfusion,200,25,22,9,,,,,,,,,,,,,,,,,
VALOR_1_REMOVED,remove,,,box_forcevalor,22,40,0,3,,,,,,,,,,,,,,,,,
VALOR_2_REMOVED,remove,,,box_forcevalor,33,40,0,3,,,,,,,,,,,,,,,,,
VALOR_3_REMOVED,remove,,,box_forcevalor,36,40,0,3,,,,,,,,,,,,,,,,,
ARMOR_1_REMOVED,remove,,,box_enemybuff1,18,20,5,3,,,,,,,,,,,,,,,,,
ARMOR_2_REMOVED,remove,,,box_enemybuff2,24,30,15,6,,,,,,,,,,,,,,,,,
ARMOR_3_REMOVED,remove,,,box_enemybuff3,17,40,22,9,,,,,,,,,,,,,,,,,
BODY_1_REMOVED,remove,,,box_enemybuff1,150,20,5,3,,,,,,,,,,,,,,,,,
BODY_2_REMOVED,remove,,,box_enemybuff2,151,30,15,6,,,,,,,,,,,,,,,,,
BODY_3_REMOVED,remove,,,box_enemybuff3,152,40,22,9,,,,,,,,,,,,,,,,,
SUPRESS_1_REMOVED,remove,,,box_forcesuppress,48,20,15,6,,,,,,,,,,,,,,,,,
SUPRESS_2_REMOVED,remove,,,box_forcesuppress,19,20,15,6,,,,,,,,,,,,,,,,,
STUN_1_REMOVED,remove,,,box_forceparalysis,46,25,20,9,,,,,,,,,,,,,,,,,
STUN_2_REMOVED,remove,,,box_forceparalysis,29,25,20,9,,,,,,,,,,,,,,,,,
STUN_3_REMOVED,remove,,,box_paralysiswave,44,75,27,9,,,,,,,,,,,,,,,,,
BARRIER_1_REMOVED,remove,,,box_enemybuff1,45,20,5,3,,,,,,,,,,,,,,,,,
BARRIER_2_REMOVED,remove,,,box_enemybuff2,7,30,15,6,,,,,,,,,,,,,,,,,
BARRIER_3_REMOVED,remove,,,box_enemybuff3,38,40,22,9,,,,,,,,,,,,,,,,,
AFFLICT_1_REMOVED,remove,,,box_forceafflict,16,15,5,3,,,,,,,,,,,,,,,,,
AFFLICT_2_REMOVED,remove,,,box_forceafflict,30,15,5,3,,,,,,,,,,,,,,,,,
AFFLICT_3_REMOVED,remove,,,box_forceafflict,31,15,5,3,,,,,,,,,,,,,,,,,
FEAR_1_REMOVED,remove,,,box_forcefear,16,20,10,3,,,,,,,,,,,,,,,,,
FEAR_2_REMOVED,remove,,,box_forcefear,30,20,10,3,,,,,,,,,,,,,,,,,
FEAR_3_REMOVED,remove,,,box_forceinsanity,31,60,22,9,,,,,,,,,,,,,,,,,
CHOKE_1_REMOVED,remove,,,box_forcechoke,50,20,15,6,,,,,,,,,,,,,,,,,
CHOKE_2_REMOVED,remove,,,box_forcechoke,9,20,15,6,,,,,,,,,,,,,,,,,
CHOKE_3_REMOVED,remove,,,box_forcechoke,32,20,15,6,,,,,,,,,,,,,,,,,
DRAIN_LIFE_1_REMOVED,remove,,,box_forcedrain,153,25,20,9,,,,,,,,,,,,,,,,,
DRAIN_LIFE_2_REMOVED,remove,,,box_forcedrain,154,25,20,9,,,,,,,,,,,,,,,,,
SHOCK_1_REMOVED,remove,,,box_forcelightning,43,25,22,9,,,,,,,,,,,,,,,,,
SHOCK_2_REMOVED,remove,,,box_forcelightning,35,25,22,9,,,,,,,,,,,,,,,,,
SHOCK_3_REMOVED,remove,,,box_forcestorm,25,75,30,9,,,,,,,,,,,,,,,,,
HEAL_1_REMOVED,remove,,,box_enemyheal1,10,20,5,3,,,,,,,,,,,,,,,,,
HEAL_2_REMOVED,remove,,,box_enemyheal2,28,30,15,6,,,,,,,,,,,,,,,,,
HEAL_3_REMOVED,remove,,,box_enemyheal3,134,40,22,9,,,,,,,,,,,,,,,,,
REVIVE_1_REMOVED,remove,,,box_enemyrevive1,173,40,10,3,,,,,,,,,,,,,,,,,
REVIVE_2_REMOVED,remove,,,box_enemyrevive2,174,60,20,6,,,,,,,,,,,,,,,,,
REVIVE_3_REMOVED,remove,,,box_enemyrevive3,175,80,25,9,,,,,,,,,,,,,,,,,
SCREAM_1_REMOVED,remove,,,box_sonichowl,159,60,20,9,,,,,,,,,,,,,,,,,
SCREAM_2_REMOVED,remove,,,box_sonichowl,160,60,20,9,,,,,,,,,,,,,,,,,
SCREAM_3_REMOVED,remove,,,box_sonichowl,161,60,20,9,,,,,,,,,,,,,,,,,
BATTLE_MED_ENEMY_1_REMOVED,remove,,,box_enemybatmed1,141,40,20,6,,,,,,,,,,,,,,,,,
BATTLE_MED_ENEMY_2_REMOVED,remove,,,box_enemybatmed1,142,60,25,9,,,,,,,,,,,,,,,,,
BATTLE_MED_ENEMY_3_REMOVED,remove,,,box_enemybatmed1,143,80,30,9,,,,,,,,,,,,,,,,,
REPULSION_1_REMOVED,remove,,,****,162,0,15,3,,,,,,,,,,,,,,,,,
REPULSION_2_REMOVED,remove,,,****,163,0,25,6,,,,,,,,,,,,,,,,,
FURY_1_ERADICATED,eradicate,,,,164,,,,,,,,,,,,,,,,,,,,
FURY_2_ERADICATED,eradicate,,,,165,,,,,,,,,,,,,,,,,,,,
FURY_3_ERADICATED,eradicate,,,,166,,,,,,,,,,,,,,,,,,,,
INSPIRE_FOLLOWERS_1_ERADICATED,eradicate,,,,167,,,,,,,,,,,,,,,,,,,,
INSPIRE_FOLLOWERS_2_ERADICATED,eradicate,,,,168,,,,,,,,,,,,,,,,,,,,
INSPIRE_FOLLOWERS_3_ERADICATED,eradicate,,,,169,,,,,,,,,,,,,,,,,,,,
INSPIRE_FOLLOWERS_4_ERADICATED,eradicate,,,,170,,,,,,,,,,,,,,,,,,,,
INSPIRE_FOLLOWERS_5_ERADICATED,eradicate,,,,171,,,,,,,,,,,,,,,,,,,,
INSPIRE_FOLLOWERS_6_ERADICATED,eradicate,,,,172,,,,,,,,,,,,,,,,,,,,
CRUSH_OPPOSITION_1_ERADICATED,eradicate,,,,144,,,,,,,,,,,,,,,,,,,,
CRUSH_OPPOSITION_2_ERADICATED,eradicate,,,,145,,,,,,,,,,,,,,,,,,,,
CRUSH_OPPOSITION_3_ERADICATED,eradicate,,,,146,,,,,,,,,,,,,,,,,,,,
CRUSH_OPPOSITION_4_ERADICATED,eradicate,,,,147,,,,,,,,,,,,,,,,,,,,
CRUSH_OPPOSITION_5_ERADICATED,eradicate,,,,148,,,,,,,,,,,,,,,,,,,,
CRUSH_OPPOSITION_6_ERADICATED,eradicate,,,,149,,,,,,,,,,,,,,,,,,,,
CAMOFLOGUE_2_ERADICATED,eradicate,,,,157,,,,,,,,,,,,,,,,,,,,
CAMOFLOGUE_3_ERADICATED,eradicate,,,,158,,,,,,,,,,,,,,,,,,,,
BOXFP_FORCE_SUGGEST,persuade,POWER_FORCE_SUGGEST,,****,6,0,0,3,,,,ip_affectmind,,,,,,,,,,POWER_TYPE_UNIVERSAL,,,
BOXFP_FORCE_COMPEL,persuade,POWER_FORCE_COMPEL,,****,14,0,15,6,,,,ip_dominate,,,,,,,,,,POWER_TYPE_UNIVERSAL,,,
BOXFP_FORCE_CONCEAL,persuade,POWER_FORCE_CONCEAL,,****,156,0,0,3,,,,ip_forcecamo01,,,,,,,,,,POWER_TYPE_UNIVERSAL,,,
BOXFP_BEAST_TRICK,modify,POWER_BEAST_TRICK,Beast Trick,box_beasttrick,182,30,-1,3,False,,,ip_beasttrick,,,,,,,Box_BeastTrick,Box_NoBeam,,POWER_TYPE_UNIVERSAL,9,,
BOXFP_BREATH_CONTROL,modify,POWER_BREATH_CONTROL,Breath Control,box_breathcontrol,270,30,-1,3,False,,,ip_breath,,,,,,,Box_BreathControl,Box_NoBeam,,POWER_TYPE_UNIVERSAL,9,,
BOXFP_FORCE_SEVER,modify,POWER_FORCE_SEVER,Force Sever,box_forcesever,180,40,-1,9,False,,,ip_breach,,,,,,,Box_SeverPower,Box_NoBeam,,POWER_TYPE_LIGHT,20,,
BOXFP_FORCE_CONSUME,modify,POWER_FORCE_CONSUME,Force Consume,box_forceconsume,177,40,-1,9,False,,,ip_deathfield,,,,,,,Box_ConsumePower,Box_NoBeam,,POWER_TYPE_DARK,20,,
BOXFP_FORCE_SPEED,buff,POWER_FORCE_SPEED,Force Speed,box_forcespeed,,30,0,3,False,0x1808,P,ip_speedburst,hand,self,****,0,FALSE,0x00,Box_SpeedPower,Box_NoVisual,,POWER_TYPE_UNIVERSAL,3,,
BOXFP_FORCE_VALOR,buff,POWER_FORCE_VALOR,Force Valor,box_forcevalor,,40,0,3,False,0x1808,P,ip_revital01,hand,self,v_con_light,0,FALSE,0x00,Box_ValorPower,Box_NoVisual,,POWER_TYPE_LIGHT,3,,
BOXFP_FORCE_FURY,buff,POWER_FORCE_FURY,Force Fury,box_forcefury,,40,0,3,False,0x1808,P,ip_frcscream01,hand,self,v_con_dark,0,FALSE,0x00,Box_FuryPower,Box_NoVisual,,POWER_TYPE_DARK,3,,
BOXFP_FORCE_SWEEP,attack,POWER_FORCE_SWEEP,Force Sweep,box_forcesweep,,30,5,3,False,0x1301,M,ip_??,hand,self,****,0,TRUE,0x00,Box_SweepPower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,6,,
BOXFP_FORCE_QUAKE,aoe,POWER_FORCE_QUAKE,Force Quake,box_forcequake,,60,20,6,True,0x2302,S,ip_??,up,up,****,1,TRUE,0x00,Box_SweepPower,Box_NoBeam,GetLocation(OBJECT_SELF),POWER_TYPE_UNIVERSAL,15,12,SHAPE_SPHERE
BOXFP_FORCE_IONIZE,attack,POWER_FORCE_IONIZE,Force Ionize,box_forceionize,,30,5,3,False,0x1301,M,ip_droiddisable,hand,self,****,0,TRUE,0x01,Box_IonizePower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,6,,
BOXFP_ION_STORM,aoe,POWER_ION_STORM,Ion Storm,box_ionstorm,,60,20,6,True,0x2302,S,ip_droiddestroy,up,up,****,1,TRUE,0x01,Box_IonizePower,Box_NoBeam,GetSpellTargetLocation(),POWER_TYPE_UNIVERSAL,15,6,SHAPE_SPHERE
BOXFP_FORCE_SLEEP,attack,POWER_FORCE_SLEEP,Force Sleep,box_forcesleep,,30,5,3,False,0x1201,M,ip_sleep,hand,self,v_con_light,0,TRUE,0x02,Box_SleepPower,Box_NoBeam,,POWER_TYPE_LIGHT,6,,
BOXFP_SLEEP_WAVE,aoe,POWER_SLEEP_WAVE,Sleep Wave,box_sleepwave,,60,20,6,True,0x2201,M,ip_sleep,hand,self,v_con_light,1,TRUE,0x02,Box_SleepPower,Box_NoBeam,GetSpellTargetLocation(),POWER_TYPE_LIGHT,15,6,SHAPE_SPHERE
BOXFP_FORCE_AFFLICT,attack,POWER_FORCE_AFFLICT,Force Afflict,box_forceafflict,,30,5,3,False,0x1101,M,ip_affliction,hand,dark,v_con_dark,0,TRUE,0x02,Box_AfflictPower,Box_NoBeam,,POWER_TYPE_DARK,6,,
BOXFP_THROW_LIGHTSABER,throw,POWER_THROW_LIGHTSABER,Throw Lightsaber,box_throwsaber,,35,10,3,False,0x1101,M,ip_lsthrow,throw,throw,****,0,TRUE,0x00,Box_ThrowLightsaberPower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,9,,
BOXFP_FORCE_LEVITATE,attack,POWER_FORCE_LEVITATE,Force Levitate,box_forcelevitate,,35,10,3,False,0x1301,M,ip_whirlwind,hand,self,****,0,TRUE,0x00,Box_LevitatePower,Box_NoBeam,,POWER_TYPE_UNIVERSAL,9,,
BOXFP_LEVITATION_FIELD,aoe,POWER_LEVITATION_FIELD,Levitation Field,box_levitationfield,,70,22,6,True,0x2301,S,ip_whirlwind,up,up,****,1,TRUE,0x00,Box_LevitatePower,Box_NoBeam,GetLocation(OBJECT_SELF),POWER_TYPE_UNIVERSAL,18,12,SHAPE_SPHERE
BOXFP_FORCE_BODY,buff,POWER_FORCE_BODY,Force Body,box_forcebody,,50,10,3,False,0x1808,P,ip_forcebody01,hand,self,v_con_light,0,FALSE,0x00,Box_BodyPower,Box_NoVisual,,POWER_TYPE_LIGHT,9,,
