tag,type,use,baseitemcode,tagconst,spellcode,spellcr,script,launchsound,projectile,projpath,radius,functioncall,visualfunction,spellexclusion,locationfunction,spellshape,shieldcode,shieldconst,visualeffectdef,defaultradius,damageflags,vulnerflags,amount,permanent,appearance_01,visualeffect_01,radius_01,appearance_02,visualeffect_02,radius_02,appearance_03,visualeffect_03,radius_03,appearance_04,visualeffect_04,radius_04
eq_prburn,beam,,BOXI_ENEMYLAUNCHER,ENEMY_PERAGUS_BURNER,BOXS_ENEMY_PERAGUS_BURNER,3,boxe_peragusburn,****,,,,Box_FuelBurner,Box_FlamethrowerBeam,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_prcold,beam,,BOXI_ENEMYLAUNCHER,ENEMY_PERAGUS_COLD,BOXS_ENEMY_PERAGUS_COLD,3,boxe_peraguscold,****,,,,Box_FireSuppression,Box_CarboniteBeam,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_prsonc,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_PERAGUS_SONIC_DET,BOXS_ENEMY_PERAGUS_SONIC_DET,3,boxe_peragussonic,****,w_SonicGren_001,ballistic,4,Box_PeragusSonicGrenade,Box_SonicGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_pershe,shield,,BOXI_ENEMYSHIELD,ENEMY_PERAGUS_DROID_SHIELD,BOXS_ENEMY_PERAGUS_DROID_SHIELD,3,boxe_peragusshield,****,,,,,,,,,BOXSH_ENEMY_PERAGUS_SHIELD,SHIELD_ENEMY_PERAGUS_DROID,2045,-1,4352,0,20,0,60,2032,1.5,61,2034,1,59,2035,2.5,65,2063,1.5
eq_fraggr1,grenade,single,BOXI_ENEMYTHROWER,ENEMY_FRAG_GRENADE_1,BOXS_ENEMY_FRAG_GRENADE_1,3,boxe_fraggrenade1,****,w_FragGren_001,grenade,4,Box_FragGrenade,Box_FragGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_fraggr2,grenade,single,BOXI_ENEMYTHROWER,ENEMY_FRAG_GRENADE_2,BOXS_ENEMY_FRAG_GRENADE_2,6,boxe_fraggrenade2,****,w_FragGren_001,grenade,4,Box_FragGrenadeLauncher,Box_FragGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_stungr1,grenade,single,BOXI_ENEMYTHROWER,ENEMY_FLASH_GRENADE_1,BOXS_ENEMY_FLASH_GRENADE_1,3,boxe_flashgrenade1,****,w_StunGren_001,grenade,4,Box_FlashGrenade,Box_FlashGrenadeExpode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_stungr2,grenade,single,BOXI_ENEMYTHROWER,ENEMY_FLASH_GRENADE_2,BOXS_ENEMY_FLASH_GRENADE_2,6,boxe_flashgrenade2,****,w_StunGren_001,grenade,4,Box_FlashGrenadeLauncher,Box_FlashGrenadeExpode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_plasgr1,grenade,single,BOXI_ENEMYTHROWER,ENEMY_PLASMA_GRENADE_1,BOXS_ENEMY_PLASMA_GRENADE_1,3,boxe_plasmagren1,****,w_FireGren_001,grenade,4,Box_PlasmaGrenade,Box_PlasmaGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_plasgr2,grenade,single,BOXI_ENEMYTHROWER,ENEMY_PLASMA_GRENADE_2,BOXS_ENEMY_PLASMA_GRENADE_2,6,boxe_plasmagren2,****,w_FireGren_001,grenade,4,Box_PlasmaGrenadeLauncher,Box_PlasmaGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_soncgr1,grenade,single,BOXI_ENEMYTHROWER,ENEMY_SONIC_GRENADE_1,BOXS_ENEMY_SONIC_GRENADE_1,3,boxe_sonicgrenade1,****,w_SonicGren_001,grenade,4,Box_SonicGrenade,Box_SonicGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_soncgr2,grenade,single,BOXI_ENEMYTHROWER,ENEMY_SONIC_GRENADE_2,BOXS_ENEMY_SONIC_GRENADE_2,6,boxe_sonicgrenade2,****,w_SonicGren_001,grenade,4,Box_SonicGrenadeLauncher,Box_SonicGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_fragla1,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_FRAG_LAUNCHER_1,BOXS_ENEMY_FRAG_LAUNCHER_1,3,boxe_fraglaunch1,****,w_FragGren_001,ballistic,4,Box_FragGrenade,Box_FragGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_fragla2,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_FRAG_LAUNCHER_2,BOXS_ENEMY_FRAG_LAUNCHER_2,3,boxe_fraglaunch2,****,w_FragGren_001,ballistic,4,Box_FragGrenadeLauncher,Box_FragGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_stunla1,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_FLASH_LAUNCHER_1,BOXS_ENEMY_FLASH_LAUNCHER_1,3,boxe_flashlaunch1,****,w_StunGren_001,ballistic,4,Box_FlashGrenade,Box_FlashGrenadeExpode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_stunla2,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_FLASH_LAUNCHER_2,BOXS_ENEMY_FLASH_LAUNCHER_2,3,boxe_flashlaunch2,****,w_StunGren_001,ballistic,4,Box_FlashGrenadeLauncher,Box_FlashGrenadeExpode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_soncla1,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_SONIC_LAUNCHER_1,BOXS_ENEMY_SONIC_LAUNCHER_1,3,boxe_soniclaunch1,****,w_SonicGren_001,grenade,4,Box_SonicGrenade,Box_SonicGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_soncla2,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_SONIC_LAUNCHER_2,BOXS_ENEMY_SONIC_LAUNCHER_2,6,boxe_soniclaunch2,****,w_SonicGren_001,grenade,4,Box_SonicGrenadeLauncher,Box_SonicGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_plasla1,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_PLASMA_LAUNCHER_1,BOXS_ENEMY_PLASMA_LAUNCHER_1,3,boxe_plasmalaun1,****,w_FireGren_001,grenade,4,Box_PlasmaGrenade,Box_PlasmaGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_plasla2,grenade,,BOXI_ENEMYLAUNCHER,ENEMY_PLASMA_LAUNCHER_2,BOXS_ENEMY_PLASMA_LAUNCHER_2,6,boxe_plasmalaun2,****,w_FireGren_001,grenade,4,Box_PlasmaGrenadeLauncher,Box_PlasmaGrenadeExplode,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_shlden1,shield,single,BOXI_ENEMYSHIELD,ENEMY_ENERGY_SHIELD_1,BOXS_ENEMY_ENERGY_SHIELD_1,3,boxe_energyshield1,****,,,,,,,,,BOXSH_ENEMY_ENERGY_SHIELD_1,SHIELD_ENEMY_ENERGY_1,2040,-1,4096,0,30,0,****,****,****,****,****,****,****,****,****,****,****,****
eq_shlden2,shield,single,BOXI_ENEMYSHIELD,ENEMY_ENERGY_SHIELD_2,BOXS_ENEMY_ENERGY_SHIELD_2,3,boxe_energyshield2,****,,,,,,,,,BOXSH_ENEMY_ENERGY_SHIELD_1,SHIELD_ENEMY_ENERGY_1,2040,-1,4096,0,50,0,****,****,****,****,****,****,****,****,****,****,****,****
eq_shlddr1,shield,single,BOXI_ENEMYSHIELD,ENEMY_DROID_ENERGY_SHIELD_1,BOXS_ENEMY_DROID_ENERGY_SHIELD_1,3,boxe_droidshield1,****,,,,,,,,,BOXSH_ENEMY_ENERGY_SHIELD_1,SHIELD_ENEMY_DROID_ENERGY_1,2040,-1,4096,0,30,0,60,2056,1.5,61,2058,1,59,2059,2.5,65,2064,1.5
eq_shlddr2,shield,single,BOXI_ENEMYSHIELD,ENEMY_DROID_ENERGY_SHIELD_2,BOXS_ENEMY_DROID_ENERGY_SHIELD_2,6,boxe_droidshield2,****,,,,,,,,,BOXSH_ENEMY_ENERGY_SHIELD_2,SHIELD_ENEMY_DROID_ENERGY_2,2040,-1,4096,0,50,0,60,2056,1.5,61,2058,1,59,2059,2.5,65,2064,1.5
eq_shldme1,shield,single,BOXI_ENEMYSHIELD,ENEMY_MELEE_SHIELD_1,BOXS_ENEMY_MELEE_SHIELD_1,3,boxe_meleeshield1,****,,,,,,,,,BOXSH_ENEMY_MELEE_SHIELD_1,SHIELD_ENEMY_MELEE_1,2047,-1,7,0,20,0,****,****,****,****,****,****,****,****,****,****,****,****
eq_flamet1,beam,,BOXI_ENEMYLAUNCHER,ENEMY_FLAMETHROWER_1,BOXS_ENEMY_FLAMETHROWER_1,3,boxe_flamethrow1,****,,,,Box_Flamethrower,Box_FlamethrowerBeam,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_flamet2,beam,,BOXI_ENEMYLAUNCHER,ENEMY_FLAMETHROWER_2,BOXS_ENEMY_FLAMETHROWER_2,6,boxe_flamethrow2,****,,,,Box_Flamethrower2,Box_FlamethrowerBeam,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_shocka1,beam,,BOXI_ENEMYLAUNCHER,ENEMY_SHOCK_ARM_1,BOXS_ENEMY_SHOCK_ARM_1,3,boxe_shockarm1,****,,,,Box_ShockArmMkI,Box_ShockArmBeam,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_shocka1,beam,,BOXI_ENEMYLAUNCHER,ENEMY_SHOCK_ARM_2,BOXS_ENEMY_SHOCK_ARM_1,6,boxe_shockarm1,****,,,,Box_ShockArmMkIII,Box_ShockArmBeam,0x00,,,,,,,,,,,,,,,,,,,,,,
eq_stunra1,beam,,BOXI_ENEMYLAUNCHER,ENEMY_STUN_RAY_1,BOXS_ENEMY_STUN_RAY_1,3,boxe_stunray1,****,,,,Box_StunRayMkI,Box_StunRayBeam,0x02,,,,,,,,,,,,,,,,,,,,,,
eq_stunra1,beam,,BOXI_ENEMYLAUNCHER,ENEMY_STUN_RAY_2,BOXS_ENEMY_STUN_RAY_2,6,boxe_stunray2,****,,,,Box_StunRayMkII,Box_StunRayBeam,0x02,,,,,,,,,,,,,,,,,,,,,,
eq_lighta1,multibeam,,BOXI_ENEMYLAUNCHER,ENEMY_LIGHTNING_ARM_1,BOXS_ENEMY_LIGHTNING_ARM_1,6,boxe_lightningarm1,****,,,10,Box_ShockArmMkIII,Box_ShockArmBeam,0x00,GetLocation(OBJECT_SELF),SHAPE_SPHERE,,,,,,,,,,,,,,,,,,,,
